X,Y,Z
15,-6,994
12,-7,997
21,3,986
16,-3,993
-440,-864,968
-11,-130,1362
190,-370,1013
79,-223,783
917,-489,1333
491,-778,808
-138,-400,-431
279,607,514
301,-890,170
-690,-323,1757
426,-299,440
294,-707,1998
-351,-271,1660
64,-582,479
-135,-38,975
-118,-45,988
-115,-47,984
-118,-49,983
-116,-48,984
-124,-50,985
-119,-48,985
-116,-48,985
-117,-48,985
-119,-48,984
-116,-48,984
-119,-50,986
-371,-524,795
586,-350,969
-206,-1065,218
455,0,1094
398,-362,919
265,-347,869
186,-341,690
45,266,960
45,270,960
49,273,952
209,276,964
338,-113,933
396,-321,856
397,-328,863
388,-334,856
391,-334,854
387,-342,859
381,-350,859
377,-342,852
554,-638,779
441,-321,830
-146,-398,897
339,-296,887
447,-765,584
190,277,943
356,-820,675
410,944,880
185,-791,571
101,8,976
104,-746,670
33,135,1001
20,-2,992
19,13,996
19,13,995
21,9,995
25,37,993
120,-213,972
86,265,897
78,184,935
14,376,916
20,355,918
22,359,921
20,358,922
19,359,920
19,360,924
811,-335,500
271,-97,715
520,-481,-22
686,-173,633
40,312,940
585,-162,893
342,-35,851
158,239,1405
284,-138,582
-170,64,949
185,233,867
126,71,1234
306,68,950
305,72,949
305,76,947
307,81,949
305,73,948
308,73,947
307,73,948
306,76,950
306,74,949
304,70,948
309,78,948
307,75,948
305,74,948
307,74,949
303,73,950
306,75,950
301,74,948
300,75,951
312,86,944
305,66,953
302,69,950
299,72,949
303,74,950
300,74,949
300,72,950
299,71,949
299,72,951
303,73,947
305,80,950
302,78,949
297,76,950
298,71,951
298,75,951
296,72,951
297,74,950
298,72,952
296,75,953
300,77,950
299,75,949
292,74,951
290,74,954
296,73,952
296,74,950
296,74,950
296,74,951
297,73,950
295,74,952
296,73,950
291,78,954
296,71,952
368,47,939
398,38,916
428,43,907
284,76,957
444,16,904
429,22,910
440,20,900
417,26,908
417,28,907
427,26,903
413,24,914
283,69,955
283,68,955
384,36,924
360,47,933
358,49,932
360,48,931
361,47,933
363,49,929
292,64,954
289,66,955
286,66,954
286,67,955
286,66,954
284,67,955
286,67,953
284,66,952
475,6,887
465,11,891
458,12,891
462,12,890
466,11,890
438,16,902
460,9,888
212,101,1004
296,69,951
281,87,950
288,69,950
283,68,953
289,67,951
285,70,954
286,68,954
284,68,955
285,71,953
283,68,955
278,69,956
278,66,961
282,68,957
280,71,954
283,67,954
284,67,955
282,69,956
275,71,957
281,68,955
283,68,955
282,68,955
42,301,942
43,302,944
